Timestamp;test_speed_out[2];test_speed_out[3];test_current_out[2];test_current_out[3];WheelCurrentSend[2];WheelCurrentSend[3]
204000;-500;-500;0;6;-500;-500
205000;-500;-500;0;6;-500;-500
206000;-500;-500;-3;6;-500;-500
208000;-500;-500;-1;2;-500;-500
209000;-500;-500;-1;-1;-500;-500
210000;-500;-500;-3;-1;-500;-500
211000;-500;-500;-1;-2;-500;-500
213000;-500;-500;-1;-2;-500;-500
214000;-500;-500;3;-1;-500;-500
215000;-500;-500;7;0;-500;-500
216000;-500;-500;7;0;-500;-500
218000;-500;-500;6;-3;-500;-500
219000;-500;-500;2;-4;-500;-500
221000;-500;-500;2;-4;-500;-500
222000;-500;-500;1;0;-500;-500
223000;-500;-500;0;6;-500;-500
224000;-500;-500;0;6;-500;-500
226000;-500;-500;-2;9;-500;-500
227000;-500;-500;-2;9;-500;-500
228000;-500;-500;0;13;-500;-500
230000;-500;-500;1;6;-500;-500
231000;-500;-500;1;6;-500;-500
232000;-500;-500;-5;-2;-500;-500
234000;-500;-500;-5;-3;-500;-500
235000;-500;-500;-5;-3;-500;-500
236000;-500;-500;-2;-1;-500;-500
237000;-500;-500;-2;-2;-500;-500
239000;-500;-500;-2;-2;-500;-500
240000;-500;-500;-1;-2;-500;-500
241000;-500;-500;5;-1;-500;-500
243000;-500;-500;5;-1;-500;-500
244000;-500;-500;17;-3;-500;-500
245000;-500;-500;18;-5;-500;-500
247000;-500;-500;18;-5;-500;-500
248000;-500;-500;8;-1;-500;-500
249000;-500;-500;8;3;-500;-500
250000;-500;-500;1;3;-500;-500
252000;-500;-500;0;2;-500;-500
253000;-500;-500;0;2;-500;-500
254000;-500;-500;1;0;-500;-500
256000;-500;-500;1;2;-500;-500
257000;-500;-500;1;2;-500;-500
258000;-500;-500;-1;5;-500;-500
260000;-500;-500;0;2;-500;-500
261000;-500;-500;0;2;-500;-500
262000;-500;-500;3;0;-500;-500
263000;-500;-500;0;0;-500;-500
265000;-500;-500;0;0;-500;-500
266000;-500;-500;0;-1;-500;-500
267000;-500;-500;0;-1;-500;-500
269000;-500;-500;4;-1;-500;-500
270000;-500;-500;2;0;-500;-500
271000;-500;-500;-1;1;-500;-500
273000;-500;-500;-1;1;-500;-500
274000;-500;-500;-6;1;-500;-500
275000;-500;-500;-6;1;-500;-500
276000;-500;-500;-7;0;-500;-500
278000;-500;-500;-4;-1;-500;-500
279000;-500;-500;-4;-1;-500;-500
280000;-500;-500;-2;1;-500;-500
282000;-500;-500;2;2;-500;-500
283000;-500;-500;2;2;-500;-500
284000;-500;-500;4;1;-500;-500
286000;-500;-500;0;0;-500;-500
287000;-500;-500;0;0;-500;-500
288000;-500;-500;-5;0;-500;-500
289000;-500;-500;-5;1;-500;-500
291000;-500;-500;-2;1;-500;-500
292000;-500;-500;3;2;-500;-500
293000;-500;-500;3;2;-500;-500
295000;-500;-500;4;3;-500;-500
296000;-500;-500;2;6;-500;-500
297000;-500;-500;2;6;-500;-500
298000;-500;-500;0;6;-500;-500
300000;-500;-500;0;4;-500;-500
301000;-500;-500;0;4;-500;-500
302000;-500;-500;3;1;-500;-500
304000;-500;-500;0;-4;-520;-520
305000;-520;-520;0;-4;-520;-520
306000;-500;-500;0;-1;-500;-500
308000;-500;-500;-5;0;-500;-500
309000;-500;-500;-5;0;-500;-500
310000;-500;-500;-9;2;-500;-500
311000;-500;-500;-9;2;-500;-500
313000;-500;-500;-11;1;-500;-500
314000;-500;-500;-10;0;-500;-500
315000;-500;-500;-10;0;-500;-500
316000;-500;-500;-5;2;-500;-500
318000;-500;-500;-1;4;-500;-500
319000;-500;-500;-1;4;-500;-500
321000;-500;-500;4;3;-500;-500
322000;-500;-500;8;4;-500;-500
323000;-500;-500;8;4;-500;-500
324000;-500;-500;10;0;-500;-500
326000;-500;-500;3;-4;-500;-500
327000;-500;-500;3;-4;-500;-500
328000;-500;-500;-5;-2;-500;-500
329000;-500;-500;-5;-2;-500;-500
331000;-500;-500;-7;1;-500;-500
332000;-500;-500;-2;2;-500;-500
334000;-500;-500;-2;1;-500;-500
335000;-500;-500;0;1;-500;-500
336000;-500;-500;0;-2;-500;-500
337000;-500;-500;0;-2;-500;-500
339000;-500;-500;1;-3;-500;-500
340000;-500;-500;3;-2;-500;-500
341000;-500;-500;3;-2;-500;-500
342000;-500;-500;5;-1;-500;-500
344000;-500;-500;7;2;-500;-500
345000;-500;-500;7;2;-500;-500
347000;-500;-500;6;4;-500;-500
348000;-500;-500;1;1;-500;-500
349000;-500;-500;1;1;-500;-500
350000;-500;-500;0;-5;-500;-500
352000;-500;-500;0;-5;-500;-500
353000;-500;-500;0;-8;-500;-500
354000;-500;-500;3;-7;-500;-500
355000;-500;-500;3;-7;-500;-500
357000;-500;-500;5;-4;-500;-500
358000;-500;-500;3;-3;-500;-500
360000;-500;-500;3;-3;-500;-500
361000;-500;-500;0;-1;-500;-500
362000;-500;-500;-4;4;-500;-500
363000;-500;-500;-4;4;-500;-500
365000;-500;-500;-10;5;-500;-500
366000;-500;-500;-10;2;-500;-500
367000;-500;-500;-10;2;-500;-500
368000;-500;-500;-5;2;-500;-500
370000;-500;-500;1;1;-500;-500
371000;-500;-500;1;1;-500;-500
372000;-500;-500;1;-2;-500;-500
374000;-500;-500;1;-2;-500;-500
375000;-500;-500;-1;-5;-500;-500
376000;-500;-500;-1;-2;-500;-500
378000;-500;-500;-1;-2;-500;-520
379000;-520;-520;-4;-3;-520;-520
380000;-500;-500;-3;-3;-500;-500
382000;-500;-500;-3;-3;-500;-500
383000;-500;-500;-5;-5;-500;-500
384000;-500;-500;-3;-2;-500;-500
385000;-500;-500;-3;-2;-500;-500
387000;-500;-500;-1;0;-500;-500
388000;-500;-500;0;0;-500;-500
389000;-500;-500;0;0;-500;-500
391000;-500;-500;1;1;-500;-500
392000;-500;-500;3;3;-500;-500
393000;-500;-500;3;3;-500;-500
395000;-500;-500;4;0;-500;-500
396000;-500;-500;4;0;-500;-500
397000;-500;-500;4;2;-500;-500
398000;-500;-500;3;5;-500;-500
400000;-500;-500;3;5;-500;-500
401000;-500;-500;3;3;-500;-500
402000;-500;-520;-3;0;-520;-520
404000;-520;-520;-3;0;-500;-500
405000;-500;-500;-4;2;-500;-500
406000;-500;-500;-5;3;-500;-500
408000;-500;-500;-5;3;-500;-500
409000;-500;-500;-3;6;-500;-500
410000;-500;-500;0;6;-500;-500
411000;-500;-500;0;6;-500;-500
413000;-500;-500;3;2;-500;-500
414000;-500;-500;3;0;-500;-500
416000;-500;-500;5;0;-500;-500
417000;-500;-500;5;1;-500;-500
418000;-500;-500;5;3;-500;-500
419000;-500;-500;5;3;-500;-500
421000;-500;-500;4;4;-500;-500
422000;-500;-500;4;4;-500;-500
423000;-500;-500;1;14;-500;-500
424000;-500;-500;3;20;-500;-500
426000;-500;-500;3;20;-500;-500
427000;-500;-500;10;10;-500;-500
429000;-520;-520;8;-1;-520;-520
430000;-520;-520;8;-1;-500;-500
431000;-500;-500;4;-1;-500;-500
432000;-500;-500;-3;0;-500;-500
434000;-500;-500;-3;0;-500;-500
435000;-520;-520;-4;2;-520;-520
436000;-520;-520;-4;2;-500;-500
437000;-500;-500;0;5;-500;-500
439000;-500;-500;-5;-1;-500;-500
440000;-500;-500;-7;-5;-500;-500
442000;-500;-500;-7;-5;-500;-500
443000;-500;-500;-3;-3;-500;-500
444000;-500;-500;-3;-1;-500;-500
445000;-500;-500;-4;-1;-500;-500
447000;-500;-500;-5;0;-500;-500
448000;-500;-500;-5;0;-500;-500
449000;-500;-500;-2;0;-500;-500
451000;-500;-500;-1;-4;-500;-500
452000;-500;-500;-1;-4;-500;-500
453000;-500;-500;-2;-2;-500;-500
455000;-500;-500;-3;0;-500;-500
456000;-500;-500;-3;0;-500;-500
457000;-500;-500;-3;-2;-500;-500
458000;-500;-500;0;-2;-500;-500
460000;-500;-500;0;-2;-500;-500
461000;-500;-500;-1;0;-500;-500
462000;-500;-500;-1;0;-500;-500
464000;-500;-500;-4;0;-500;-500
465000;-500;-500;-3;-1;-500;-500
466000;-500;-500;-3;-1;-500;-500
468000;-500;-500;2;-1;-500;-500
469000;-500;-500;1;2;-500;-500
470000;-500;-500;1;2;-500;-500
471000;-500;-500;-3;7;-500;-500
473000;-500;-500;-3;10;-500;-500
474000;-500;-500;-3;10;-500;-500
475000;-500;-500;-2;7;-500;-500
477000;-500;-500;0;2;-500;-500
478000;-500;-500;0;2;-500;-500
479000;-500;-500;2;-2;-500;-500
481000;-500;-500;0;-1;-500;-500
482000;-500;-500;0;-1;-500;-500
483000;-500;-500;-2;1;-500;-500
484000;-500;-500;-2;1;-500;-500
486000;-500;-500;-1;1;-500;-500
487000;-500;-500;2;-1;-500;-500
488000;-500;-500;6;-4;-500;-500
490000;-500;-500;6;-4;-500;-500
491000;-500;-500;7;-3;-500;-500
492000;-500;-500;7;-3;-500;-500
494000;-500;-500;5;-4;-500;-500
495000;-500;-500;3;-4;-500;-500
496000;-500;-500;3;-4;-500;-500
497000;-500;-500;3;1;-500;-500
499000;-500;-500;3;5;-500;-500
500000;-500;-500;3;5;-500;-500
501000;-500;-500;1;2;-500;-500
503000;-500;-500;-4;-1;-500;-500
504000;-500;-500;-4;-1;-500;-500
505000;-500;-500;-8;-2;-500;-500
506000;-500;-500;-8;0;-500;-500
508000;-500;-500;-2;0;-500;-500
509000;-500;-500;1;-1;-500;-500
510000;-500;-500;1;-1;-500;-500
512000;-500;-500;-2;0;-500;-500
513000;-500;-500;0;1;-500;-500
514000;-500;-500;0;1;-500;-500
516000;-500;-500;2;2;-500;-500
517000;-500;-500;5;2;-500;-500
518000;-500;-500;5;2;-500;-500
519000;-500;-500;3;1;-500;-500
521000;-500;-500;0;-4;-520;-520
522000;-520;-520;0;-4;-520;-520
523000;-500;-500;2;-1;-500;-500
525000;-500;-500;2;0;-500;-500
526000;-500;-500;0;0;-500;-500
527000;-500;-500;0;1;-500;-500
529000;-500;-500;-1;2;-500;-500
530000;-500;-500;-1;2;-500;-500
531000;-500;-500;-6;2;-500;-500
532000;-500;-500;-6;2;-520;-520
534000;-520;-520;-9;0;-520;-520
535000;-500;-500;0;2;-500;-500
536000;-500;-500;0;2;-500;-500
538000;-500;-500;6;7;-500;-500
539000;-500;-500;6;15;-500;-500
540000;-500;-500;6;15;-500;-500
542000;-500;-500;0;12;-500;-500
543000;-500;-500;-7;2;-500;-500
544000;-500;-500;-7;2;-500;-500
545000;-500;-500;-13;1;-500;-500
547000;-500;-500;-13;1;-500;-500
548000;-500;-500;-15;1;-500;-500
550000;-500;-500;-10;1;-500;-500
551000;-500;-500;-2;1;-500;-500
552000;-500;-500;-2;1;-500;-500
553000;-500;-500;3;2;-500;-500
555000;-500;-500;3;2;-500;-500
556000;-500;-500;5;2;-500;-500
557000;-500;-500;4;1;-500;-500
558000;-500;-500;4;1;-500;-500
560000;-500;-500;3;-1;-500;-500
561000;-500;-500;5;-1;-500;-500
563000;-500;-500;5;-1;-500;-500
564000;-500;-500;7;0;-500;-500
565000;-500;-500;2;0;-500;-500
566000;-500;-500;2;0;-500;-500
568000;-500;-500;4;-1;-500;-500
569000;-500;-500;9;-1;-500;-500
570000;-500;-500;9;-1;-500;-500
572000;-500;-500;8;1;-500;-500
573000;-500;-500;3;2;-500;-500
574000;-500;-500;3;2;-500;-500
576000;-500;-500;1;2;-500;-500
577000;-500;-500;1;2;-500;-500
578000;-500;-500;-1;2;-500;-500
579000;-500;-500;-4;1;-500;-500
581000;-500;-500;-4;1;-500;-500
582000;-500;-500;-3;-1;-500;-500
583000;-500;-500;2;-3;-500;-500
585000;-500;-500;2;-3;-500;-500
586000;-500;-500;3;-2;-500;-500
587000;-500;-500;0;1;-500;-500
589000;-500;-500;0;1;-500;-500
590000;-520;-520;-3;2;-520;-520
591000;-520;-520;-1;3;-500;-500
592000;-500;-500;-1;3;-500;-500
594000;-500;-500;-3;1;-500;-500
595000;-500;-500;-5;-2;-500;-500
596000;-500;-500;-5;-2;-500;-500
598000;-500;-500;-3;-5;-500;-500
599000;-500;-500;-3;-3;-500;-500
600000;-500;-500;0;-3;-500;-500
602000;-500;-500;1;-3;-500;-500
603000;-500;-500;1;-3;-500;-500
604000;-500;-500;1;-3;-500;-500
605000;-500;-500;-1;-4;-500;-500
607000;-500;-500;-1;-4;-500;-500
608000;-500;-500;0;-6;-500;-500
609000;-500;-500;2;-3;-500;-500
611000;-500;-500;2;-3;-500;-500
612000;-500;-500;0;0;-500;-500
613000;-500;-500;0;0;-500;-500
615000;-500;-500;0;0;-500;-500
616000;-500;-500;4;-1;-500;-500
617000;-500;-500;4;-1;-500;-500
619000;-500;-500;2;-1;-500;-500
620000;-500;-500;-1;0;-500;-500
621000;-500;-500;-2;1;-500;-500
622000;-500;-500;-2;1;-500;-500
624000;-500;-500;-3;0;-500;-500
625000;-500;-500;-3;0;-500;-500
626000;-500;-500;-1;-1;-500;-500
627000;-500;-500;-2;-1;-500;-500
629000;-500;-500;-2;-1;-500;-500
630000;-500;-500;-2;0;-500;-500
632000;-500;-500;1;-1;-500;-500
633000;-500;-500;1;-1;-500;-500
634000;-500;-500;0;0;-500;-500
635000;-500;-500;-2;4;-500;-500
637000;-500;-500;-2;4;-500;-500
638000;-520;-520;-4;1;-520;-520
639000;-520;-520;-4;0;-500;-500
640000;-500;-500;1;0;-500;-500
642000;-500;-500;2;-1;-500;-500
643000;-500;-500;5;1;-500;-500
645000;-500;-500;5;1;-500;-500
646000;-500;-500;5;2;-500;-500
647000;-500;-500;5;2;-500;-500
648000;-500;-500;3;2;-500;-500
650000;-500;-500;2;1;-500;-500
651000;-500;-500;2;1;-500;-500
652000;-500;-500;3;0;-500;-500
654000;-520;-520;0;-5;-520;-520
655000;-520;-520;0;-5;-500;-500
656000;-500;-500;2;-2;-500;-500
658000;-500;-500;0;-1;-500;-500
659000;-500;-500;0;-1;-500;-500
660000;-500;-500;-3;1;-500;-500
661000;-500;-500;-2;5;-500;-500
663000;-500;-500;-2;5;-500;-500
664000;-500;-500;2;5;-500;-500
666000;-500;-500;0;2;-500;-500
667000;-500;-500;0;2;-500;-500
668000;-500;-500;-7;0;-500;-500
669000;-500;-500;-7;0;-500;-500
671000;-500;-500;-6;1;-500;-500
672000;-500;-500;0;1;-500;-500
